number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_dentra,system_attrs_tpe:relative_params:0,state
0,0.8959114360864895,2026-09-23 22:36:45.618883,2026-09-23 22:41:22.576015,0 days 00:04:36.957132,0.4936111842654619,0.051507064868276414,193,75,222,0.0017073967431528124,0.004207053950287938,0.8394633936788146,103,,COMPLETE
1,0.9452374749616949,2026-09-23 22:41:22.578415,2026-09-23 22:42:39.758245,0 days 00:01:17.179830,0.899465584480253,0.09128492666823604,46,6,111,0.005337032762603957,0.0070689749506246055,0.9879639408647978,11,,COMPLETE
2,0.9271300553229768,2026-09-23 22:42:39.758991,2026-09-23 22:43:45.475840,0 days 00:01:05.716849,0.7671117368334277,0.043127706008471954,68,46,65,0.01474275315991467,0.003613894271216527,0.7164916560792167,32,,COMPLETE
3,0.946055949202804,2026-09-23 22:43:45.476458,2026-09-23 22:45:05.246871,0 days 00:01:19.770413,0.7554487413172255,0.06328455461792308,45,24,138,0.26926469100861794,0.0015339162591163618,0.8056937753654446,43,,COMPLETE
4,0.8982437494928416,2026-09-23 22:45:05.247726,2026-09-23 22:46:19.772349,0 days 00:01:14.524623,0.5827682615040224,0.023571419625354813,79,97,221,0.5456725485601477,0.002458603276328005,0.9233589392465844,29,,COMPLETE
5,0.9590844745164991,2026-09-23 22:46:19.773061,2026-09-23 22:50:47.654348,0 days 00:04:27.881287,0.5552679889600102,0.027220428494595557,94,8,60,0.017654048052495083,0.4467752817973907,0.9637281608315128,79,,COMPLETE
6,0.9069295217698112,2026-09-23 22:50:47.655045,2026-09-23 22:53:19.932603,0 days 00:02:32.277558,0.9636993649385135,0.07956498317732985,217,98,25,0.24637685958997463,3.7958531426706403,0.9100531293444458,149,,COMPLETE
7,0.9534833919114319,2026-09-23 22:53:19.934306,2026-09-23 22:55:31.477577,0 days 00:02:11.543271,0.6332063738136893,0.025009114059038544,66,9,25,2.0651425578959257,0.01217295809836997,0.7301321323053057,107,,COMPLETE
8,0.9530499159455885,2026-09-23 22:55:31.478108,2026-09-23 22:58:05.845019,0 days 00:02:34.366911,0.44473038620786254,0.04066210639080132,48,18,69,1.2273800987852967,8.862326508576253,0.9208787923016158,57,,COMPLETE
9,0.9187944850601524,2026-09-23 22:58:05.845684,2026-09-23 22:59:08.374334,0 days 00:01:02.528650,0.8627622080115674,0.020280901754577738,40,72,150,0.02715581955282941,0.0019777828512462727,0.8916028672163949,55,,COMPLETE
10,0.9455003737517498,2026-09-23 22:59:08.374933,2026-09-23 23:00:59.822589,0 days 00:01:51.447656,0.6818220203858862,0.03102781363861583,90,51,37,0.005035358503599932,3.959088069662853,0.717322484431118,121,"{""colsample_bytree"": 0.6818220203858862, ""learning_rate"": 0.03102781363861583, ""max_bin"": 90, ""min_child_samples"": 51, ""num_leaves"": 37, ""reg_alpha"": 0.005035358503599932, ""reg_lambda"": 3.959088069662853, ""subsample"": 0.717322484431118}",COMPLETE
11,0.9511805529102645,2026-09-23 23:00:59.823272,2026-09-23 23:03:02.614989,0 days 00:02:02.791717,0.6065664429734442,0.030464746993167882,95,17,21,0.8297549384609574,0.23558560303509965,0.8285225422178807,71,"{""colsample_bytree"": 0.6065664429734442, ""learning_rate"": 0.030464746993167882, ""max_bin"": 95, ""min_child_samples"": 17, ""num_leaves"": 21, ""reg_alpha"": 0.8297549384609574, ""reg_lambda"": 0.23558560303509965, ""subsample"": 0.8285225422178807}",COMPLETE
12,0.9509389400135497,2026-09-23 23:03:02.615814,2026-09-23 23:05:28.712754,0 days 00:02:26.096940,0.752885244123256,0.021931846735753956,80,17,44,0.016208373795248733,0.04197780194526653,0.7844497176495738,95,"{""colsample_bytree"": 0.752885244123256, ""learning_rate"": 0.021931846735753956, ""max_bin"": 80, ""min_child_samples"": 17, ""num_leaves"": 44, ""reg_alpha"": 0.016208373795248733, ""reg_lambda"": 0.04197780194526653, ""subsample"": 0.7844497176495738}",COMPLETE
13,0.9568498451771716,2026-09-23 23:05:28.713484,2026-09-23 23:08:17.577446,0 days 00:02:48.863962,0.5268407237533893,0.029581980934654684,87,13,71,7.644600122137423,0.22452069658182522,0.8694531467196799,42,"{""colsample_bytree"": 0.5268407237533893, ""learning_rate"": 0.029581980934654684, ""max_bin"": 87, ""min_child_samples"": 13, ""num_leaves"": 71, ""reg_alpha"": 7.644600122137423, ""reg_lambda"": 0.22452069658182522, ""subsample"": 0.8694531467196799}",COMPLETE
14,0.9576885611049398,2026-09-23 23:08:17.578808,2026-09-23 23:14:18.336520,0 days 00:06:00.757712,0.4868575383787027,0.023538603204556762,149,15,85,3.8031285489243953,0.1250543910972992,0.9018761251350529,150,"{""colsample_bytree"": 0.4868575383787027, ""learning_rate"": 0.023538603204556762, ""max_bin"": 149, ""min_child_samples"": 15, ""num_leaves"": 85, ""reg_alpha"": 3.8031285489243953, ""reg_lambda"": 0.1250543910972992, ""subsample"": 0.9018761251350529}",COMPLETE
15,0.9559881526932852,2026-09-23 23:14:18.337282,2026-09-23 23:16:51.056728,0 days 00:02:32.719446,0.4588393991236247,0.038002645545793454,94,25,36,0.004849447686305537,0.27593669332008697,0.8882030036060673,58,"{""colsample_bytree"": 0.4588393991236247, ""learning_rate"": 0.038002645545793454, ""max_bin"": 94, ""min_child_samples"": 25, ""num_leaves"": 36, ""reg_alpha"": 0.004849447686305537, ""reg_lambda"": 0.27593669332008697, ""subsample"": 0.8882030036060673}",COMPLETE
16,0.9629537834439501,2026-09-23 23:16:51.057419,2026-09-23 23:19:56.224135,0 days 00:03:05.166716,0.4221710350612859,0.03777058677408153,184,13,39,0.023675337456611337,0.15501048697606257,0.8983659392369691,71,"{""colsample_bytree"": 0.4221710350612859, ""learning_rate"": 0.03777058677408153, ""max_bin"": 184, ""min_child_samples"": 13, ""num_leaves"": 39, ""reg_alpha"": 0.023675337456611337, ""reg_lambda"": 0.15501048697606257, ""subsample"": 0.8983659392369691}",COMPLETE
